00000110) perceptual - 91.09070; equivariance_value - 0.17875; equivariance_jacobian - 0.46037
00000111) perceptual - 88.79986; equivariance_value - 0.17835; equivariance_jacobian - 0.46309
00000112) perceptual - 89.47392; equivariance_value - 0.18272; equivariance_jacobian - 0.47117
00000113) perceptual - 89.68882; equivariance_value - 0.17977; equivariance_jacobian - 0.46657
00000114) perceptual - 90.85421; equivariance_value - 0.17743; equivariance_jacobian - 0.45854
00000115) perceptual - 89.32239; equivariance_value - 0.18065; equivariance_jacobian - 0.46490
00000116) perceptual - 90.38343; equivariance_value - 0.17758; equivariance_jacobian - 0.46446
00000117) perceptual - 91.44274; equivariance_value - 0.17915; equivariance_jacobian - 0.46357
00000118) perceptual - 90.21082; equivariance_value - 0.18080; equivariance_jacobian - 0.45922
00000119) perceptual - 88.89007; equivariance_value - 0.17819; equivariance_jacobian - 0.46586
00000120) perceptual - 89.91517; equivariance_value - 0.17654; equivariance_jacobian - 0.46211
00000121) perceptual - 90.72724; equivariance_value - 0.17731; equivariance_jacobian - 0.45918
00000122) perceptual - 89.85009; equivariance_value - 0.17909; equivariance_jacobian - 0.46464
00000123) perceptual - 90.03876; equivariance_value - 0.18065; equivariance_jacobian - 0.45768
00000124) perceptual - 87.42612; equivariance_value - 0.18157; equivariance_jacobian - 0.46726
00000125) perceptual - 89.50034; equivariance_value - 0.17628; equivariance_jacobian - 0.45704
00000126) perceptual - 89.98207; equivariance_value - 0.18123; equivariance_jacobian - 0.46055
00000127) perceptual - 89.25716; equivariance_value - 0.17905; equivariance_jacobian - 0.45557
00000128) perceptual - 89.51714; equivariance_value - 0.17767; equivariance_jacobian - 0.46541
00000129) perceptual - 89.49396; equivariance_value - 0.17861; equivariance_jacobian - 0.46238
00000130) perceptual - 88.44879; equivariance_value - 0.18134; equivariance_jacobian - 0.46582
00000131) perceptual - 89.27384; equivariance_value - 0.17647; equivariance_jacobian - 0.46020
00000132) perceptual - 90.56020; equivariance_value - 0.17602; equivariance_jacobian - 0.45862
00000133) perceptual - 90.79668; equivariance_value - 0.17448; equivariance_jacobian - 0.45615
00000134) perceptual - 89.70058; equivariance_value - 0.18107; equivariance_jacobian - 0.46111
00000135) perceptual - 89.78527; equivariance_value - 0.17280; equivariance_jacobian - 0.45559
00000136) perceptual - 89.64948; equivariance_value - 0.17897; equivariance_jacobian - 0.46246
00000137) perceptual - 89.70277; equivariance_value - 0.18306; equivariance_jacobian - 0.46572
00000138) perceptual - 89.32567; equivariance_value - 0.17560; equivariance_jacobian - 0.45377
00000139) perceptual - 89.46300; equivariance_value - 0.18017; equivariance_jacobian - 0.46855
00000140) perceptual - 89.43491; equivariance_value - 0.17925; equivariance_jacobian - 0.46382
00000141) perceptual - 90.16499; equivariance_value - 0.17505; equivariance_jacobian - 0.45667
00000142) perceptual - 89.35868; equivariance_value - 0.17694; equivariance_jacobian - 0.45837
00000143) perceptual - 89.36700; equivariance_value - 0.17616; equivariance_jacobian - 0.45921
00000144) perceptual - 89.60387; equivariance_value - 0.17742; equivariance_jacobian - 0.45844
00000145) perceptual - 90.20718; equivariance_value - 0.17831; equivariance_jacobian - 0.45790
00000146) perceptual - 90.51613; equivariance_value - 0.17608; equivariance_jacobian - 0.46390
00000147) perceptual - 88.71086; equivariance_value - 0.18183; equivariance_jacobian - 0.46412
00000148) perceptual - 90.27897; equivariance_value - 0.18139; equivariance_jacobian - 0.46281
00000149) perceptual - 88.46364; equivariance_value - 0.17927; equivariance_jacobian - 0.46129
00000150) perceptual - 89.88726; equivariance_value - 0.18319; equivariance_jacobian - 0.47095
00000151) perceptual - 89.11356; equivariance_value - 0.17367; equivariance_jacobian - 0.45890
00000152) perceptual - 90.29159; equivariance_value - 0.18067; equivariance_jacobian - 0.46191
00000153) perceptual - 89.65189; equivariance_value - 0.17848; equivariance_jacobian - 0.46432
00000154) perceptual - 90.33054; equivariance_value - 0.17669; equivariance_jacobian - 0.46102
00000155) perceptual - 89.91411; equivariance_value - 0.17778; equivariance_jacobian - 0.45284
00000156) perceptual - 88.58363; equivariance_value - 0.17530; equivariance_jacobian - 0.46259
00000157) perceptual - 89.48920; equivariance_value - 0.17514; equivariance_jacobian - 0.44813
00000158) perceptual - 88.33481; equivariance_value - 0.17944; equivariance_jacobian - 0.46254
00000159) perceptual - 91.19292; equivariance_value - 0.17984; equivariance_jacobian - 0.45301
00000160) perceptual - 89.67351; equivariance_value - 0.18122; equivariance_jacobian - 0.47110
00000161) perceptual - 89.05187; equivariance_value - 0.17981; equivariance_jacobian - 0.47009
00000162) perceptual - 90.94125; equivariance_value - 0.18164; equivariance_jacobian - 0.46368
00000163) perceptual - 89.37778; equivariance_value - 0.17629; equivariance_jacobian - 0.46222
00000164) perceptual - 90.25418; equivariance_value - 0.17663; equivariance_jacobian - 0.46077
00000165) perceptual - 89.57997; equivariance_value - 0.18081; equivariance_jacobian - 0.46107
00000166) perceptual - 91.43430; equivariance_value - 0.17943; equivariance_jacobian - 0.45949
00000167) perceptual - 90.31860; equivariance_value - 0.17820; equivariance_jacobian - 0.45502
00000168) perceptual - 90.71571; equivariance_value - 0.18110; equivariance_jacobian - 0.46448
00000169) perceptual - 89.71645; equivariance_value - 0.17722; equivariance_jacobian - 0.45769
00000170) perceptual - 88.95481; equivariance_value - 0.17403; equivariance_jacobian - 0.45972
00000171) perceptual - 89.37535; equivariance_value - 0.17956; equivariance_jacobian - 0.46112
00000172) perceptual - 89.57061; equivariance_value - 0.18020; equivariance_jacobian - 0.45776
00000173) perceptual - 89.21780; equivariance_value - 0.18231; equivariance_jacobian - 0.46172
00000174) perceptual - 88.92629; equivariance_value - 0.17782; equivariance_jacobian - 0.46047
00000175) perceptual - 89.46953; equivariance_value - 0.18046; equivariance_jacobian - 0.46144
00000176) perceptual - 89.16546; equivariance_value - 0.17919; equivariance_jacobian - 0.45927
00000177) perceptual - 88.98383; equivariance_value - 0.17945; equivariance_jacobian - 0.46006
00000178) perceptual - 90.36578; equivariance_value - 0.17901; equivariance_jacobian - 0.45907
00000179) perceptual - 89.09636; equivariance_value - 0.17657; equivariance_jacobian - 0.46173
00000180) perceptual - 88.88213; equivariance_value - 0.17690; equivariance_jacobian - 0.45860
00000181) perceptual - 90.04776; equivariance_value - 0.17477; equivariance_jacobian - 0.46167
00000182) perceptual - 90.26155; equivariance_value - 0.17641; equivariance_jacobian - 0.45626
00000183) perceptual - 88.96527; equivariance_value - 0.18169; equivariance_jacobian - 0.46834
00000184) perceptual - 89.25423; equivariance_value - 0.17317; equivariance_jacobian - 0.45412
00000185) perceptual - 89.53069; equivariance_value - 0.17506; equivariance_jacobian - 0.45615
00000186) perceptual - 88.52520; equivariance_value - 0.17558; equivariance_jacobian - 0.45855
00000187) perceptual - 90.02377; equivariance_value - 0.17792; equivariance_jacobian - 0.45728
00000188) perceptual - 89.42950; equivariance_value - 0.17473; equivariance_jacobian - 0.45473
00000189) perceptual - 88.67332; equivariance_value - 0.18139; equivariance_jacobian - 0.46366
00000190) perceptual - 90.32973; equivariance_value - 0.17698; equivariance_jacobian - 0.45858
00000191) perceptual - 89.54144; equivariance_value - 0.17607; equivariance_jacobian - 0.45465
00000192) perceptual - 88.78790; equivariance_value - 0.17894; equivariance_jacobian - 0.45661
00000193) perceptual - 88.54608; equivariance_value - 0.17369; equivariance_jacobian - 0.45695
00000194) perceptual - 88.81540; equivariance_value - 0.17926; equivariance_jacobian - 0.46161
00000195) perceptual - 89.19669; equivariance_value - 0.18138; equivariance_jacobian - 0.46136
00000196) perceptual - 88.77351; equivariance_value - 0.18112; equivariance_jacobian - 0.46286
00000197) perceptual - 88.32587; equivariance_value - 0.18029; equivariance_jacobian - 0.45585
00000198) perceptual - 88.48191; equivariance_value - 0.17539; equivariance_jacobian - 0.45433
00000199) perceptual - 89.10629; equivariance_value - 0.17740; equivariance_jacobian - 0.45408
00000200) perceptual - 88.73882; equivariance_value - 0.18064; equivariance_jacobian - 0.45876
00000201) perceptual - 89.18172; equivariance_value - 0.17814; equivariance_jacobian - 0.46171
00000202) perceptual - 88.34148; equivariance_value - 0.17841; equivariance_jacobian - 0.45757
00000203) perceptual - 88.75060; equivariance_value - 0.17506; equivariance_jacobian - 0.45135
00000204) perceptual - 88.88937; equivariance_value - 0.17596; equivariance_jacobian - 0.45734
00000205) perceptual - 89.47780; equivariance_value - 0.18147; equivariance_jacobian - 0.46255
00000206) perceptual - 89.24608; equivariance_value - 0.17795; equivariance_jacobian - 0.45528
00000207) perceptual - 89.35477; equivariance_value - 0.18347; equivariance_jacobian - 0.46392
00000208) perceptual - 88.77628; equivariance_value - 0.18117; equivariance_jacobian - 0.45714
00000209) perceptual - 87.36208; equivariance_value - 0.17628; equivariance_jacobian - 0.45422
00000210) perceptual - 89.66572; equivariance_value - 0.17649; equivariance_jacobian - 0.45899
00000211) perceptual - 88.93852; equivariance_value - 0.17339; equivariance_jacobian - 0.44842
00000212) perceptual - 88.71922; equivariance_value - 0.17645; equivariance_jacobian - 0.45649
00000213) perceptual - 89.37270; equivariance_value - 0.17478; equivariance_jacobian - 0.45688
00000214) perceptual - 88.30320; equivariance_value - 0.17748; equivariance_jacobian - 0.45571
00000215) perceptual - 89.20799; equivariance_value - 0.17842; equivariance_jacobian - 0.45995
00000216) perceptual - 89.39718; equivariance_value - 0.17742; equivariance_jacobian - 0.45806
00000217) perceptual - 90.15862; equivariance_value - 0.17550; equivariance_jacobian - 0.45606
00000218) perceptual - 89.99980; equivariance_value - 0.17715; equivariance_jacobian - 0.45525
00000219) perceptual - 88.92657; equivariance_value - 0.17855; equivariance_jacobian - 0.45461
00000220) perceptual - 88.25199; equivariance_value - 0.17868; equivariance_jacobian - 0.45672
00000221) perceptual - 89.95988; equivariance_value - 0.18185; equivariance_jacobian - 0.46842
00000222) perceptual - 90.13798; equivariance_value - 0.18072; equivariance_jacobian - 0.46106
00000223) perceptual - 89.25771; equivariance_value - 0.17967; equivariance_jacobian - 0.45573
00000224) perceptual - 89.38805; equivariance_value - 0.17593; equivariance_jacobian - 0.45413
